feature,importance
reimb_zscore,0.9998692233312381
anomaly_reimb,6.123685311984522e-05
receipts_to_miles_ratio,2.301948130528272e-05
receipts_per_day,1.3774570645932457e-05
receipts_x_duration,5.437282229554886e-06
receipt_efficiency,4.1800645146897125e-06
miles_x_duration,3.217816402766609e-06
miles_zscore,2.8089792532116457e-06
miles_traveled,2.7093920849466096e-06
mileage_efficiency,2.6751448564767717e-06
miles_per_day,2.651402654467568e-06
total_receipts_amount,2.644283013006501e-06
reimb_per_receipt,2.0655934758548683e-06
reimb_per_day,1.9392238002363602e-06
miles_x_receipts,1.5975587056939607e-06
reimb_per_mile,7.668896424692643e-07
trip_duration_days,5.154838543606612e-08
long_trip,5.846721448050801e-10
high_receipts,0.0
high_mileage,0.0
over_receipt_cap,0.0
near_receipt_cap,0.0
under_100_miles,0.0
anomaly_miles,0.0
